title,author,page_number
"Sea Gypsy, The",Richard Hovey,11
"Sea-Lands, The",Orrick Johns,48
"Secret, The",George Edward Woodberry,51
Sentence,Witter Bynner,157
Sic Vita,William Stanley Braithwaite,84
Sometimes,"Thomas S. Jones, Jr.",89
Somewhere,John Vance Cheney,193
Song,Florence Earle Coates,37
Song,Florence Earle Coates,128
Song,Richard Le Gallienne,173
"Song in Spring, A","Thomas S. Jones, Jr.",26
Song is so old,Hermann Hagedorn,36
"Song of the Unsuccessful, The",Richard Burton,111
Songs for my Mother,Anna Hempstead Branch,38
Souls,Fannie Stearns Davis,96
Stains,Theodosia Garrison,133
Tears,Lizette Woodworth Reese,48
"Tears of Harlequin, The",Theodosia Garrison,58
That Day you came,Lizette Woodworth Reese,36
There's Rosemary,Olive Tilford Dargan,73
They went forth to Battle but they always fell,Shaemas O Sheel,112
"Thought of her, The",Richard Hovey,128
To a New York Shop-Girl dressed for Sunday,Anna Hempstead Branch,122
To William Sharp,Clinton Scollard,178
To-Day,Helen Gray Cone,116
Trumbull Stickney,George Cabot Lodge,156
Tryste Noël,Louise Imogen Guiney,199
"Unconquered Air, The",Florence Earle Coates,121
Under Arcturus,Madison Cawein,194
"Unreturning, The",Bliss Carman,25
Uriel,Percy MacKaye,161
"Vagabond Song, A",Bliss Carman,192
Wanderers,George Sylvester Viereck,68
Water Fantasy,Fannie Stearns Davis,28
We needs must be divided in the Tomb,George Santayana,172
"West-Country Lover, A",Alice Brown,82
When I am dead and Sister to the Dust,Elsa Barker,77
When I have gone Weird Ways,John G. Neihardt,155
When the Wind is low,Cale Young Rice,56
Why,Bliss Carman,32
"Wife from Fairyland, The",Richard Le Gallienne,33
"Winter Ride, A",Amy Lowell,83
Winter Sleep,Edith M. Thomas,198
Witchery,Frank Dempster Sherman,68
