title,author,page_number
Evening Song of Senlin,Conrad Aiken,99
Exile from God,John Hall Wheelock,208
Eye-Witness,Ridgely Torrence,56
"Falconer of God, The",William Rose Benét,30
"""Feuerzauber.""",Louis Untermeyer,90
"Fields, The",Witter Bynner,170
Fifty Years Spent,Maxwell Struthers Burt,93
"First Food, The",George Sterling,134
Flammonde,Edwin Arlington Robinson,33
"Flower of Mending, The",Vachel Lindsay,71
Four Sonnets,"Thomas S. Jones, Jr.",22
Francis Ledwidge,Grace Hazard Conkling,167
"Gift, The",Louis V. Ledoux,128
"Girl's Songs, A",Mary Carolyn Davies,66
General William Booth Enters into Heaven,Vachel Lindsay,63
God's Acre,Witter Bynner,62
God's World,Edna St. Vincent Millay,188
Good-Bye,Norreys Jephson O'Conor,77
Good Company,Karle Wilson Baker,90
"Great Hunt, The",Carl Sandburg,179
Harbury,Louise Driscoll,52
Have you an Eye,Edwin Ford Piper,184
Heat,H. D.,102
"Hill Wife, The",Robert Frost,116
Hills of Home,Witter Bynner,209
"Homeland, The",Dana Burnet,120
How much of Godhood,Louis Untermeyer,134
"Hrolf's Thrall, His Song",Willard Wattles,144
"""I am in Love with High Far-Seeing Places.""",Arthur Davison Ficke,74
I have a Rendezvous with Death,Alan Seeger,164
"""I Pass a Lighted Window.""",Clement Wood,192
Idealists,Alfred Kreymborg,12
"Idol-Maker prays, The",Arthur Guiterman,28
"""If you should tire of loving me.""",Margaret Widdemer,70
Indian Summer,William Ellery Leonard,199
In Excelsis,"Thomas S. Jones, Jr.",7
In the Hospital,Arthur Guiterman,27
In the Monastery,Norreys Jephson O'Conor,191
In the Mushroom Meadows,Thomas Walsh,80
In Patris Mei Memoriam,John Myers O'Hara,202
In Spite of War,Angela Morgan,170
Interlude,Scudder Middleton,69
"Interpreter, The",Orrick Johns,145
Invocation,Clara Shanafelt,20
Irish Love Song,Margaret Widdemer,194
Jerico,Willard Wattles,173
"Kings are passing Deathward, The",David Morton,173
"Lady, A",Amy Lowell,140
"Last Piper, The",Edward J. O'Brien,209
Lincoln,John Gould Fletcher,153
Little Things,Orrick Johns,18
Loam,Carl Sandburg,208
Lonely Burial,Stephen Vincent Benét,164
"Lonely Death, The",Adelaide Crapsey,207
Love is a Terrible Thing,Grace Fallow Norton,47
"Love Song, A",Theodosia Garrison,119
Love Songs,Sara Teasdale,45
"Lover envies an Old Man, The",Shaemas O Sheel,69
"Lynmouth Widow, A",Amelia Josephine Burr,54
Madonna of the Evening Flowers,Amy Lowell,103
Mad Blake,William Rose Benét,111
Mater Dolorosa,Louis V. Ledoux,132
Men of Harlan,William Aspinwall Bradley,182
"Monk in the Kitchen, The",Anna Hempstead Branch,135
Morning Song of Senlin,Conrad Aiken,87
"Most-Sacred Mountain, The",Eunice Tietjens,95
Moth-Terror,Benjamin De Casseres,212
"Mould, The",Gladys Cromwell,202
Music I heard,Conrad Aiken,50
Muy Vieja Mexicana,Alice Corbin,143
"Name, The",Anna Hempstead Branch,112
"Narrow Doors, The",Fannie Stearns Davis,191
New Dreams for Old,Cale Young Rice,19
"New God, The",James Oppenheim,104
Nirvana,John Hall Wheelock,195
"Note from the Pipes, A",Leonora Speyer,83
"Nun, A",Odell Shepard,196
Of One Self-Slain,Charles Hanson Towne,110
Old Age,Cale Young Rice,212
Old Amaze,Mahlon Leonard Fisher,85
Old King Cole,Edwin Arlington Robinson,145
Old Manuscript,Alfred Kreymborg,98
Old Ships,David Morton,51
Omnium Exeunt in Mysterium,George Sterling,211
Open Windows,Sara Teasdale,84
Orchard,H. D.,101
Our Little House,Thomas Walsh,120
"Overnight, a Rose",Caroline Giltinan,27
Overtones,William Alexander Percy,189
Path Flower,Olive Tilford Dargan,15
"Path that leads to Nowhere, The",Corinne Roosevelt Robinson,81
Patterns,Amy Lowell,105
Peace,Agnes Lee,172
Pierrette in Memory,William Griffith,204
Poets,Joyce Kilmer,26
Prayer during Battle,Hermann Hagedorn,158
Prayer of a Soldier in France,Joyce Kilmer,159
Prevision,Aline Kilmer,132
"Provinces, The",Francis Carlin,210
Reveillé,Louis Untermeyer,29
Richard Cory,Edwin Arlington Robinson,109
"Road not taken, The",Robert Frost,3
Romance,Scudder Middleton,76
Rouge Bouquet,Joyce Kilmer,165
"Runner in the Skies, The",James Oppenheim,99
"Saint's Hours, A",Sarah N. Cleghorn,139
Silence,Edgar Lee Masters,156
"Silent Folk, The",Charles Wharton Stork,110
Slumber Song,Louis V. Ledoux,124
"Smith, of the Third Oregon, dies",Mary Carolyn Davies,162
"Son, The",Ridgely Torrence,142
Song,Margaret Steele Anderson,76
Song,Adelaide Crapsey,205
Song,Edward J. O'Brien,163
Song,Margaret Widdemer,181
"Song of two Wanderers, A",Marguerite Wilkinson,79
Songs of an Empty House,Marguerite Wilkinson,115
Spoon River Anthology,Edgar Lee Masters,148
Spring,John Gould Fletcher,4
Spring in Carmel,George Sterling,48
Spring Song,William Griffith,5
Students,Florence Wilkinson,175
Symbol,David Morton,3
Tampico,Grace Hazard Conkling,177
"""There will come Soft Rain.""",Sara Teasdale,5
Three Sisters,Arthur Davison Ficke,205
"Thrush in the Moonlight, A",Witter Bynner,100
To a Portrait of Whistler in the Brooklyn Art Museum,Eleanor Rogers Cox,82
To Any one,Witter Bynner,172
Trees,Joyce Kilmer,12
"Unknown Belovèd, The",John Hall Wheelock,205
Valley Song,Carl Sandburg,48
Venus Transiens,Amy Lowell,72
Voyage à l'Infini,Walter Conrad Arensberg,86
"Wanderer, The",Zoë Akins,52
"Water Ouzel, The",Harriet Monroe,97
When the Year grows Old,Edna St. Vincent Millay,189
Where Love is,Amelia Josephine Burr,68
Where Love once was,James Oppenheim,194
Which,Corinne Roosevelt Robinson,177
"White Comrade, The",Robert Haven Schauffler,159
Wide Haven,Clement Wood,171
"Wind Rose in the Night, A",Aline Kilmer,133
Yellow Warblers,Katharine Lee Bates,13
You,Ruth Guthrie Harding,74
